Datetime,Open_Prices,Low_Prices,High_Prices,Close_Prices,Volume
2024-12-30 09:30:00,252.23,250.75,253.0,250.92,7399637
2024-12-30 10:30:00,250.93,250.89,252.29,251.9,3565275
2024-12-30 11:30:00,251.89,251.81,253.1,253.05,2716490
2024-12-30 12:30:00,253.06,252.5,253.47,252.82,2153979
2024-12-30 13:30:00,252.8,252.59,253.29,252.94,2351653
2024-12-30 14:30:00,252.93,252.69,253.5,252.72,2668250
2024-12-30 15:30:00,252.72,251.62,253.04,252.13,5609660
2024-12-31 09:30:00,252.44,251.31,253.28,251.69,4907815
2024-12-31 10:30:00,251.71,251.02,252.14,251.18,2380148
2024-12-31 11:30:00,251.18,250.65,251.55,250.72,1975261
2024-12-31 12:30:00,250.7,249.43,250.76,249.68,3894938
2024-12-31 13:30:00,249.69,249.53,250.27,249.77,2272065
2024-12-31 14:30:00,249.77,249.69,250.88,250.77,3376662
2024-12-31 15:30:00,250.77,249.5,251.08,250.5,7471002
2025-01-02 09:30:00,248.93,244.8,249.1,245.68,12562657
2025-01-02 10:30:00,245.66,244.16,245.88,244.9,6830862
2025-01-02 11:30:00,244.91,243.31,245.25,243.43,4384563
2025-01-02 12:30:00,243.42,242.31,243.42,242.69,5814431
2025-01-02 13:30:00,242.67,241.82,242.84,242.49,5548005
2025-01-02 14:30:00,242.48,241.87,243.44,243.23,5106409
2025-01-02 15:30:00,243.25,243.01,243.95,243.62,6632232
2025-01-03 09:30:00,243.36,241.89,244.18,242.46,8360167
2025-01-03 10:30:00,242.45,242.14,243.68,243.49,4967927
2025-01-03 11:30:00,243.48,242.67,244.05,242.77,3672709
2025-01-03 12:30:00,242.78,242.28,243.16,243.01,3314048
2025-01-03 13:30:00,243.0,242.54,243.06,242.67,3130540
2025-01-03 14:30:00,242.66,242.64,243.44,242.85,3007161
2025-01-03 15:30:00,242.84,242.61,243.8,243.1,4956842
2025-01-06 09:30:00,244.31,243.2,246.18,245.55,8628619
2025-01-06 10:30:00,245.54,245.33,247.33,246.75,5006205
2025-01-06 11:30:00,246.75,245.7,246.76,245.77,3354748
2025-01-06 12:30:00,245.76,244.47,245.87,245.03,3070077
2025-01-06 13:30:00,245.03,244.6,245.18,244.99,2065753
2025-01-06 14:30:00,244.98,244.43,245.13,244.9,2306191
2025-01-06 15:30:00,244.91,244.41,245.34,244.72,5469363
2025-01-07 09:30:00,242.98,242.68,245.55,245.17,7317539
2025-01-07 10:30:00,245.16,243.71,245.38,243.76,4107264
2025-01-07 11:30:00,243.74,242.14,243.88,242.39,4445675
2025-01-07 12:30:00,242.4,241.35,243.41,243.16,3448508
2025-01-07 13:30:00,243.15,242.07,243.18,242.46,2578137
2025-01-07 14:30:00,242.45,241.75,242.49,242.01,2681340
2025-01-07 15:30:00,242.02,241.54,242.41,242.27,6375449
2025-01-08 09:30:00,241.92,240.05,242.87,242.41,6778227
2025-01-08 10:30:00,242.39,242.08,243.71,242.71,4139623
2025-01-08 11:30:00,242.73,241.24,243.58,241.37,3009201
2025-01-08 12:30:00,241.39,241.2,242.52,242.35,2613615
2025-01-08 13:30:00,242.35,241.04,242.98,242.8,2758673
2025-01-08 14:30:00,242.78,241.69,242.78,242.38,2454699
2025-01-08 15:30:00,242.38,241.8,242.99,242.75,4372332
2025-01-10 09:30:00,240.01,235.8,240.16,237.43,12432259
2025-01-10 10:30:00,237.42,233.5,237.45,233.77,8428094
2025-01-10 11:30:00,233.77,233.0,235.9,235.56,7173808
2025-01-10 12:30:00,235.54,235.06,237.34,237.12,3958551
2025-01-10 13:30:00,237.12,236.41,237.59,236.83,3175383
2025-01-10 14:30:00,236.84,235.75,236.88,236.0,3580571
2025-01-10 15:30:00,236.0,235.77,237.45,237.19,5905458
2025-01-13 09:30:00,233.53,229.72,233.65,230.38,12571753
2025-01-13 10:30:00,230.38,230.22,231.8,230.73,5349525
2025-01-13 11:30:00,230.73,230.4,232.53,232.32,4160467
2025-01-13 12:30:00,232.29,231.98,233.44,233.38,2920586
2025-01-13 13:30:00,233.38,233.25,233.97,233.56,2678623
2025-01-13 14:30:00,233.55,233.37,234.2,233.68,3290942
2025-01-13 15:30:00,233.69,233.66,235.0,234.5,6139076
2025-01-14 09:30:00,234.75,234.26,236.12,235.61,6362884
2025-01-14 10:30:00,235.6,234.13,235.98,234.21,3836770
2025-01-14 11:30:00,234.19,232.85,234.49,233.33,3080749
2025-01-14 12:30:00,233.32,232.65,234.12,234.02,2177484
2025-01-14 13:30:00,234.04,233.72,234.92,234.26,2448351
2025-01-14 14:30:00,234.25,232.47,234.65,233.3,3620031
2025-01-14 15:30:00,233.28,232.54,234.0,233.99,5506860
2025-01-15 09:30:00,234.64,234.43,238.39,237.92,8050265
2025-01-15 10:30:00,237.96,237.31,238.54,237.4,3704418
2025-01-15 11:30:00,237.4,236.5,237.59,237.12,2960015
2025-01-15 12:30:00,237.12,236.97,237.74,237.53,2194171
2025-01-15 13:30:00,237.53,237.26,237.77,237.57,1910015
2025-01-15 14:30:00,237.58,237.52,238.03,237.62,2782207
2025-01-15 15:30:00,237.62,237.35,238.96,237.97,5224622
