Date,Close_Prices,High_Prices,Low_Prices,Open_Prices,Volume,Symbol,sentiment
2024-12-10,174.21316528320312,176.17754898648235,172.24876636452788,172.67753622439704,7561800,APO,153.0,0.7112492322921753
2024-12-10,174.21316528320312,176.17754898648235,172.24876636452788,172.67753622439704,7561800,APO,152.0,0.8519743084907532
2024-12-11,178.10206604003906,178.96958704830482,171.62055086561293,174.91116930493922,6023000,APO,151.0,0.841347336769104
2024-12-11,178.10206604003906,178.96958704830482,171.62055086561293,174.91116930493922,6023000,APO,150.0,0.7649214863777161
2024-12-12,175.9083251953125,178.8598989646353,174.7715677598281,178.0222914259407,3547400,APO,,0.7649214863777161
2024-12-13,175.9282684326172,177.01518029985127,174.38268843018648,175.90833626286738,3166600,APO,149.0,0.8665677309036255
2024-12-13,175.9282684326172,177.01518029985127,174.38268843018648,175.90833626286738,3166600,APO,148.0,0.9165902137756348
2024-12-16,177.64337158203125,178.90976422089173,175.38980403947784,175.73881479689013,5958900,APO,143.0,0.8141010403633118
2024-12-17,175.81858825683594,177.2245669332912,172.4083006677593,175.99806906921046,7018500,APO,,0.8141010403633118
2024-12-18,166.96383666992188,177.60349150492206,165.9766465537439,176.1177232884232,7927900,APO,142.0,0.9280602931976318
2024-12-18,166.96383666992188,177.60349150492206,165.9766465537439,176.1177232884232,7927900,APO,141.0,0.8273544311523438
2024-12-18,166.96383666992188,177.60349150492206,165.9766465537439,176.1177232884232,7927900,APO,140.0,0.7849664092063904
2024-12-18,166.96383666992188,177.60349150492206,165.9766465537439,176.1177232884232,7927900,APO,139.0,0.8124307990074158
2024-12-18,166.96383666992188,177.60349150492206,165.9766465537439,176.1177232884232,7927900,APO,138.0,0.7067192196846008
2024-12-19,169.14761352539062,173.0664301447729,168.88834317178103,169.56641730961036,7908400,APO,136.0,0.4474245905876159
2024-12-19,169.14761352539062,173.0664301447729,168.88834317178103,169.56641730961036,7908400,APO,132.0,0.505801260471344
2024-12-19,169.14761352539062,173.0664301447729,168.88834317178103,169.56641730961036,7908400,APO,133.0,0.7772911190986633
2024-12-19,169.14761352539062,173.0664301447729,168.88834317178103,169.56641730961036,7908400,APO,134.0,0.8398225903511047
2024-12-19,169.14761352539062,173.0664301447729,168.88834317178103,169.56641730961036,7908400,APO,135.0,0.8604993224143982
2024-12-19,169.14761352539062,173.0664301447729,168.88834317178103,169.56641730961036,7908400,APO,137.0,0.9465534090995787
2024-12-20,170.5436248779297,174.3527688923268,166.91397689281118,167.0236646842047,91314300,APO,130.0,0.8763996958732605
2024-12-20,170.5436248779297,174.3527688923268,166.91397689281118,167.0236646842047,91314300,APO,131.0,0.8933787941932678
2024-12-23,171.1419219970703,172.2886455310096,167.8014426697578,170.15473189005235,4447700,APO,212.0,0.8395304083824158
2024-12-23,171.1419219970703,172.2886455310096,167.8014426697578,170.15473189005235,4447700,APO,211.0,0.8152921795845032
2024-12-24,174.35276794433594,174.35276794433594,171.31143848622986,172.0194108687782,1023900,APO,210.0,0.5799702405929565
2024-12-26,173.87411499023438,174.58210255958548,172.0194039214589,173.13622916866916,1348400,APO,207.0,0.7642343640327454
2024-12-27,169.79576110839844,172.91686496768955,169.21740867091785,172.18892996692804,2859000,APO,206.0,0.8989356160163879
2024-12-30,166.03646850585938,168.38975767732924,164.71024897297974,167.47237582613192,2597800,APO,,0.8989356160163879
2024-12-31,164.69032287597656,167.12338645664514,164.46096599317522,166.52508664600998,2817000,APO,204.0,0.7370052337646484
2024-12-31,164.69032287597656,167.12338645664514,164.46096599317522,166.52508664600998,2817000,APO,203.0,0.8437505960464478
2024-12-31,164.69032287597656,167.12338645664514,164.46096599317522,166.52508664600998,2817000,APO,202.0,0.5512751936912537
2025-01-02,165.38832092285156,166.51511224996625,162.5863145542098,166.51511224996625,3079600,APO,201.0,0.8695191740989685
2025-01-02,165.38832092285156,166.51511224996625,162.5863145542098,166.51511224996625,3079600,APO,200.0,0.9525840878486632
2025-01-03,168.5792236328125,168.94816655546802,164.7002866488476,165.6575632893487,2491500,APO,198.0,0.9204555749893188
2025-01-03,168.5792236328125,168.94816655546802,164.7002866488476,165.6575632893487,2491500,APO,199.0,0.4562669396400451
2025-01-06,168.61912536621094,171.62056015497777,168.54931712639473,170.314287922044,3233400,APO,195.0,0.7482658624649048
2025-01-06,168.61912536621094,171.62056015497777,168.54931712639473,170.314287922044,3233400,APO,196.0,0.9115956425666808
2025-01-06,168.61912536621094,171.62056015497777,168.54931712639473,170.314287922044,3233400,APO,197.0,0.92639821767807
2025-01-07,161.98802185058594,169.66612155716027,160.77149006782471,169.51655421313066,4062800,APO,192.0,0.4991454780101776
2025-01-07,161.98802185058594,169.66612155716027,160.77149006782471,169.51655421313066,4062800,APO,191.0,0.624835729598999
2025-01-07,161.98802185058594,169.66612155716027,160.77149006782471,169.51655421313066,4062800,APO,190.0,0.936428427696228
2025-01-07,161.98802185058594,169.66612155716027,160.77149006782471,169.51655421313066,4062800,APO,194.0,0.8898005485534668
2025-01-07,161.98802185058594,169.66612155716027,160.77149006782471,169.51655421313066,4062800,APO,193.0,0.9378799200057985
2025-01-08,161.5193634033203,162.66610220790824,158.98659324993076,162.14757670309112,3283500,APO,189.0,0.9336357712745668
2025-01-08,161.5193634033203,162.66610220790824,158.98659324993076,162.14757670309112,3283500,APO,188.0,0.5225043892860413
2025-01-08,161.5193634033203,162.66610220790824,158.98659324993076,162.14757670309112,3283500,APO,187.0,0.7750049829483032
2025-01-08,161.5193634033203,162.66610220790824,158.98659324993076,162.14757670309112,3283500,APO,185.0,0.617266058921814
2025-01-08,161.5193634033203,162.66610220790824,158.98659324993076,162.14757670309112,3283500,APO,186.0,0.8155295848846436
2025-01-10,154.94810485839844,159.54499565430393,154.14041075236196,159.54499565430393,4502700,APO,177.0,0.9393311142921448
2025-01-10,154.94810485839844,159.54499565430393,154.14041075236196,159.54499565430393,4502700,APO,176.0,0.9149835109710692
2025-01-10,154.94810485839844,159.54499565430393,154.14041075236196,159.54499565430393,4502700,APO,175.0,0.8898055553436279
2025-01-10,154.94810485839844,159.54499565430393,154.14041075236196,159.54499565430393,4502700,APO,174.0,0.9446836113929749
2025-01-10,154.94810485839844,159.54499565430393,154.14041075236196,159.54499565430393,4502700,APO,173.0,0.9116008281707764
2025-01-10,154.94810485839844,159.54499565430393,154.14041075236196,159.54499565430393,4502700,APO,172.0,0.9237974286079408
2025-01-10,154.94810485839844,159.54499565430393,154.14041075236196,159.54499565430393,4502700,APO,170.0,0.6097196936607361
2025-01-10,154.94810485839844,159.54499565430393,154.14041075236196,159.54499565430393,4502700,APO,169.0,0.7681466937065125
2025-01-10,154.94810485839844,159.54499565430393,154.14041075236196,159.54499565430393,4502700,APO,171.0,0.9522436857223512
2025-01-13,154.3597869873047,154.55921518963137,152.2956662939625,153.25294296668565,3441800,APO,165.0,0.94120454788208
2025-01-13,154.3597869873047,154.55921518963137,152.2956662939625,153.25294296668565,3441800,APO,164.0,0.8612881302833557
2025-01-13,154.3597869873047,154.55921518963137,152.2956662939625,153.25294296668565,3441800,APO,166.0,0.9371854066848756
2025-01-13,154.3597869873047,154.55921518963137,152.2956662939625,153.25294296668565,3441800,APO,167.0,0.7278274297714233
2025-01-14,158.87689208984375,159.46521056992415,155.16746997396112,156.20450568096052,3511900,APO,162.0,0.7246798276901245
2025-01-14,158.87689208984375,159.46521056992415,155.16746997396112,156.20450568096052,3511900,APO,161.0,0.6048819422721863
2025-01-14,158.87689208984375,159.46521056992415,155.16746997396112,156.20450568096052,3511900,APO,160.0,0.9216362833976746
2025-01-14,158.87689208984375,159.46521056992415,155.16746997396112,156.20450568096052,3511900,APO,159.0,0.8836418986320496
2025-01-14,158.87689208984375,159.46521056992415,155.16746997396112,156.20450568096052,3511900,APO,163.0,0.9243143796920776
2025-01-14,158.87689208984375,159.46521056992415,155.16746997396112,156.20450568096052,3511900,APO,158.0,0.9069057703018188
2025-01-15,164.38121032714844,167.40259248177114,163.20455806570718,165.52793390357482,3852400,APO,157.0,0.6871814131736755
2025-01-15,164.38121032714844,167.40259248177114,163.20455806570718,165.52793390357482,3852400,APO,156.0,0.8806371688842773
2025-01-15,164.38121032714844,167.40259248177114,163.20455806570718,165.52793390357482,3852400,APO,155.0,0.8863382339477539
2025-01-15,164.38121032714844,167.40259248177114,163.20455806570718,165.52793390357482,3852400,APO,154.0,0.8837597966194153
2025-01-15,164.38121032714844,167.40259248177114,163.20455806570718,165.52793390357482,3852400,APO,63.0,0.9104468822479248
